slug, format, count, config
pridepunks, 23x23, 9640, https://github.com/pixelartexchange/artbase.sandbox/raw/master/pridepunks/collection.yml
bears, 24x24, 5000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/bears/collection.yml
binaryapes, 24x24, 10000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/binaryapes/collection.yml
eightbitme, 24x24, 8888, https://github.com/pixelartexchange/artbase.sandbox/raw/master/eightbitme/collection.yml
nounpunks, 24x24, 9969, https://github.com/pixelartexchange/artbase.sandbox/raw/master/nounpunks/collection.yml
papc-punk-ape-pixel-club, 24x24, 5555, https://github.com/pixelartexchange/artbase.sandbox/raw/master/papc-punk-ape-pixel-club/collection.yml
pudgypunks, 24x24, 8888, https://github.com/pixelartexchange/artbase.sandbox/raw/master/pudgypunks/collection.yml
unemployables, 24x24, 5000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/unemployables/collection.yml
unfudables, 24x24, 7500, https://github.com/pixelartexchange/artbase.sandbox/raw/master/unfudables/collection.yml
galacticaliensocialclub, 28x28, 10000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/galacticaliensocialclub/collection.yml
pudgies, 28x28, 5000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/pudgies/collection.yml
moonbears, 34x34, 4000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonbears/collection.yml
moonquacks, 42x42, 3500, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonquacks/collection.yml
moonstalkers, 44x44, 6688, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonstalkers/collection.yml
goblintown, 48x48, 4444, https://github.com/pixelartexchange/artbase.sandbox/raw/master/goblintown/collection.yml
monkerunners, 50x50, 6666, https://github.com/pixelartexchange/artbase.sandbox/raw/master/monkerunners/collection.yml
moonbirdpunks, 50x50, 2469, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonbirdpunks/collection.yml
moongoblz, 50x50, 6666, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moongoblz/collection.yml
moonrunners, 50x50, 10000, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonrunners/collection.yml
moonhunters, 64x64, 2200, https://github.com/pixelartexchange/artbase.sandbox/raw/master/moonhunters/collection.yml
babymoonrunners, 100x100, 3333, https://github.com/pixelartexchange/artbase.sandbox/raw/master/babymoonrunners/collection.yml

apepunks, 24x24, 1868, https://github.com/pixelartexchange/artbase.sandbox.vol2/raw/master/apepunks/collection.yml
covidpunks, 24x24, 10000, https://github.com/pixelartexchange/artbase.sandbox.vol2/raw/master/covidpunks/collection.yml
